Algorithm name	Graph filename	Agents filename	Result	Run time
Christofides	graph10_1	agent0	2005,95	4,5508
Christofides	graph10_1	agent0	2005,95	4,9719
Christofides	graph10_1	agent0	2008,54	6,141
Christofides	graph10_1	agent0	2005,95	5,5253
Christofides	graph10_1	agent0	1844,76	5,882
Christofides	graph10_1	agent0	2008,54	6,0582
Christofides	graph10_1	agent0	2008,54	7,0532
Christofides	graph10_1	agent0	2008,54	5,1968
Christofides	graph10_1	agent0	2005,95	6,708
Christofides	graph10_1	agent0	2008,54	5,8461
Christofides	graph10_1	agent0	1844,76	5,2177
Christofides	graph10_1	agent0	1847,35	8,7095
Christofides	graph10_1	agent0	2005,95	16,916
Christofides	graph10_1	agent0	2008,54	8,0256
Christofides	graph10_1	agent0	2008,54	5,7966
Christofides	graph10_1	agent0	2008,54	9,1511
Christofides	graph10_1	agent0	1844,76	4,3174
Christofides	graph10_1	agent0	1844,76	4,5273
Christofides	graph10_1	agent0	2005,95	4,5179
Christofides	graph10_1	agent0	1844,76	4,5384
Christofides	graph10_1	agent0	1847,35	7,4312
Christofides	graph10_1	agent0	1844,76	6,0219
Christofides	graph10_1	agent0	2008,54	5,3888
Christofides	graph10_1	agent0	1844,76	5,9665
Christofides	graph10_1	agent0	1847,35	6,4145
